Cast,Country,Date Added,Description,Director,Duration,Listed In,Rating,Release Year,Show Id,Title,Type
"Tanuj Virwani, Sunny Leone, Narendra Jetley, Aamir Ahmed, Kapil Punjabi, Madhurima Banerjee, Ninad Kamat, Geeta Bisht",India,10/15/2017,An obsession with a woman with whom he had a one-night stand brings disharmony into a man's life and destroys his peace of mind.,Jasmine D'Souza,93 min,"Dramas, International Movies, Music & Musicals",TV-MA,2016,80201823,One Night Stand,Movie
"Jessica De Gouw, T.J. Power, Thomas Cocquerel, Liam Graham, Clarence John Ryan, Maggie Meyer, Tiriel Mora, Priscilla-Anne Forder, Adriane Daff, Ian Toyne","Australia, United Arab Emirates",10/15/2017,"After inventing a drug that induces time-compressed virtual realities, young Ren grapples with partner Sam over how to use their powerful creation.",Ben C. Lucas,96 min,"Dramas, Independent Movies, International Movies",TV-MA,2017,80190841,OtherLife,Movie
"Jaswinder Bhalla, Sonam Bajwa, Diljit Dosanjh, Monica Gill","Australia, India",10/15/2017,A simple farmer's life becomes complicated after he resolves to save his village from an economic crisis by traveling to Australia to earn money.,Rohit Jugraj,145 min,"Action & Adventure, Comedies, International Movies",TV-PG,2016,80115858,Sardaarji 2,Movie
"Leila Jolene, Flavio Parenti, Josefin Asplund",France,10/15/2017,A little girl discovers she’s the modern-day descendant of Snow White when seven dwarfs arrive at her suburban home to serve as her guardian angels.,,1 Season,Kids' TV,TV-G,2017,80183199,Seven and Me,TV Show
"Shammi Kapoor, Padmini, Maria Menado, Shashikala, Agha, K.N. Singh, Madan Puri, Helen","India, Malaysia",10/15/2017,"When his employee disappears in Singapore, Shyam travels from India to investigate the absence and becomes entangled in a deadly plot.",Shakti Samanta,158 min,"Comedies, Dramas, International Movies",TV-PG,1960,80158547,Singapore,Movie
"Raj B. Shetty, Usha Bhandary, Shailashree, Prakash Tuminadu, Amrutha Naik, Shreya Anchan, VJ Vineeth, Rahul Amin, Deepak Rai Panaje, Ramdas",India,10/15/2017,"When an astrologer gives him one year to find a mate or face being alone forever, a professor sets out to find a bride despite serious obstacles.",Raj B. Shetty,132 min,"Comedies, International Movies, Romantic Movies",TV-PG,2017,80206827,Story of an Egg,Movie
"Nikhil Dwivedi, Richa Chadha, Damandeep Singh Baggan, Vijay Pande, Talib Mehdi, Tushar Phulke, Mahesh Gupta, Prasad Labhe",India,10/15/2017,A man and a woman on the run from the law are drawn to each other through the common bond of their mutual dependency.,Navneet Behal,111 min,"Action & Adventure, International Movies, Romantic Movies",TV-MA,2014,80202090,Tamanchey,Movie
"Happy Raikoti, Diljott, Prince Kanwaljit Singh, Karamjit Anmol, Harinder Bhullar, Virast Sandhu, Anita Devgan, Simran Sehajpal",India,10/15/2017,New beginnings appear to be on the horizon after a simple country boy forms a bond with a sophisticated urban girl with modern ideas.,Sukhbir Singh,133 min,"Comedies, International Movies, Romantic Movies",TV-PG,2016,80203790,Teshan,Movie
"Mala Sinha, Shammi Kapoor, Raaj Kumar, Leela Chitnis, Dhumal, Kumkum",India,10/15/2017,"An honest man dreams of a better life for his family, but a childhood friend leads him into a world of crime that keeps happiness just out of reach.",Naresh Saigal,143 min,"Dramas, International Movies",TV-PG,1959,80158391,Ujala,Movie
"Sandeep Bharadwaj, Sachiin Joshi, Lisa Ray, Usha Jadhav, Nissar Khan, Krishna Shrikanth Iyengar",India,10/15/2017,A police official assembles an elaborate network of spies and undercover operatives to bring down a ruthless bandit with a private army.,Ram Gopal Varma,117 min,"Action & Adventure, Dramas, International Movies",TV-14,2016,80201822,Veerappan,Movie
,"Canada, India, Thailand, United States, United Arab Emirates",10/15/2017,"Pressured by his traditional family to marry, a filmmaker explores the idea of monogamy and the possibility of lifelong union without sexual fidelity.",Dhruv Dhawan,84 min,Documentaries,TV-MA,2016,80211540,Why Knot,Movie
"Gérard Depardieu, Chantal Lauby, Medi Sadoun, Ilian Bergala, Blanche Gardin, Patrick Timsit, Barbara Cabrita, Jean Dell, Thomas Vandenberghe, Théo Fernandez, Léa Lopez",France,10/15/2016,"When a fit of anger leads to a serious injury, a sidelined soccer star returns to his hometown and reluctantly agrees to train the local youth.",Thomas Sorriaux,97 min,"Comedies, International Movies, Sports Movies",TV-14,2016,80123743,A Mighty Team,Movie
"Hiroaki Iwanaga, Takahiro Sakurai, Toa Yukinari, Yuki Kaji, Minako Kotobuki, Takahiro Fujiwara, Yoshiro Matsumoto, Kazuki Yao, Aki Toyosaki, Rikiya Koyama, Kenta Miyake",Japan,10/15/2016,"Loner Guts is recruited by Griffith and his band of mercenaries, but their ensuing success as a full-fledged army could lead to a horrible fate.",Toshiyuki Kubooka,77 min,"Action & Adventure, Anime Features, International Movies",TV-MA,2012,70258995,Berserk: The Golden Age Arc I - The Egg of the King,Movie
"Masakazu Morita, Fumiko Orikasa, Aya Hirano, Hiroshi Kamiya, Mitsuaki Madono, Ryotaro Okiayu, Kentaro Ito, Shinichiro Miki, Satsuki Yukino, Masaaki Tsukada",Japan,10/15/2016,"When his mind is fogged by a scimitar-weilding stranger, Mayuri destroys his laboratory, unleashing a cloud of reishi that lays waste to the Seiretei.",Noriyuki Abe,94 min,"Action & Adventure, Anime Features, Sci-Fi & Fantasy",NR,2008,70208801,Bleach The Movie: Fade to Black,Movie
"Masakazu Morita, Fumiko Orikasa, Kazuya Nakai, Noriaki Sugiyama, Kentarô Itô, Yuki Matsuoka, Ryotaro Okiayu, Romi Park",Japan,10/15/2016,"When a group of vicious Sinners plots to escape from this eternal prison in Hell, they discover that Substitute Soul Reaper Ichigo is the key to their freedom. The Sinners launch an attack and in the process kidnap Ichigo's younger sister.",Noriyuki Abe,94 min,"Action & Adventure, Anime Features, Sci-Fi & Fantasy",NR,2010,70260383,Bleach the Movie: Hell Verse,Movie
"Mélanie Bernier, Clovis Cornillac, Lilou Fogli, Philippe Duquesne, Grégoire Oestermann, Oscar Copp, Boris Terral, Manu Payet",France,10/15/2016,"A passionate pianist and a soulful puzzle maker who treasures silence aren't the best neighbors, but things get interesting when they start to date.",Clovis Cornillac,91 min,"Comedies, International Movies, Romantic Movies",TV-14,2015,80123744,Blind Date,Movie
"Kappei Yamaguchi, Alessandro Juliani, Mamoru Miyano, Brad Swaile, Ai Satou, Saffron Henderson, Akeno Watanabe, Lisa Ann Beley, Aya Hirano, Shannon Chan-Kent, Haruka Kudo, Kelly Metzger, Hideo Ishikawa, Brian Dobson, Hiroki Takahashi, Sam Vincent, Shido Nakamura, Brian Drummond, Naoya Uchida, Chris Britton",Japan,10/15/2016,"When a Japanese high schooler comes into possession of a mystical notebook, he finds he has the power to kill anybody whose name he enters in it.",,1 Season,"Anime Series, Crime TV Shows, International TV Shows",TV-14,2006,70204970,DEATH NOTE,TV Show
"Junko Takeuchi, Noriaki Sugiyama, Chie Nakamura, Kazuhiko Inoue, Satoshi Hino, Shinji Kawada, Nana Mizuki, Showtaro Morikubo, Rikiya Koyama, Motoko Kumai, Unsho Ishizuka",Japan,10/15/2016,"When strange ninjas ambush the village of Konohagakure, it's up to adolescent ninja Naruto and his long-missing pal, Sasuke, to save the planet.",Hajime Kamegaki,93 min,"Action & Adventure, Anime Features, International Movies",TV-14,2008,70105699,Naruto Shippûden the Movie: Bonds,Movie
"Junko Takeuchi, Chie Nakamura, Yoichi Masukawa, Kôichi Tôchika, Masako Katsuki, Keiko Nemoto, Kazuhiko Inoue, Masashi Ebara, Showtaro Morikubo, Romi Park, Ayumi Fujimura, Fumiko Orikasa",Japan,10/15/2016,"The adventures of adolescent ninja Naruto Uzumaki continue as he's tasked with protecting a priestess from a demon – but to do so, he must die.",Hajime Kamegaki,95 min,"Action & Adventure, Anime Features, International Movies",TV-14,2007,70124999,Naruto Shippuden: The Movie,Movie
"Brennan Mejia, Camille Hyde, Yoshi Sudarso, Michael Taber, James Davies, Claire Blackwelder",United States,10/15/2016,Just when you thought the Rangers' mission was accomplished there's an even more difficult challenge for them to face with the arrival of a new enemy.,,1 Season,Kids' TV,TV-Y7,2016,80088507,Power Rangers Dino Super Charge,TV Show
"Marc-André Grondin, Denis Ménochet, Miranda Raison, Doug Allen, Liam Garrigan, Ciarán Owens, Kate Magowan, Tanya Fear, Naomi Radcliffe, Lucy Akhurst, Jemma Donovan, Niall Hayes, Brendan Coyle","United Kingdom, France",10/15/2016,The law-abiding owner of a crime scene cleaning service is forced into business with a powerful mob boss thanks to his irresponsible older brother.,,1 Season,"Crime TV Shows, International TV Shows, TV Dramas",TV-MA,2015,80080727,Spotless,TV Show
Martin Matte,Canada,10/14/2019,"Quebecois comedy star Martin Matte serves up embarrassing personal stories, a solution for social media trolls and more in this unpredictable special.",Jean-François Blais,62 min,Stand-Up Comedy,TV-14,2019,80990869,"Martin Matte: La vie, la mort...eh la la..!",Movie
"Takeshi Kaneshiro, Zhou Dongyu, Sun Yizhou, Ming Xi, Tony Yang, Lin Chi-ling",China,10/14/2017,"Romance and cuisine mix when a perpetually dissatisfied hotel executive finally encounters the perfect meal, and the sous chef that made it.",Derek Hui,107 min,"Comedies, International Movies, Romantic Movies",TV-PG,2017,80187205,This Is Not What I Expected,Movie
Cai Guo-Qiang,United States,10/14/2016,"Known for his spectacular pyrotechnic displays, Chinese artist Cai Guo-Qiang creates his most ambitious project yet in this breathtaking documentary.",Kevin MacDonald,80 min,Documentaries,TV-MA,2016,80097472,Sky Ladder: The Art of Cai Guo-Qiang,Movie
"Pierfrancesco Favino, Elio Germano, Claudio Amendola, Alessandro Borghi, Greta Scarano, Giulia Gorietti, Jean-Hugues Anglade, Antonello Fassari, Lidia Vitale","Italy, France",10/14/2015,A grueling battle over turning a seaside town near Rome into a gambling paradise exposes criminal rivalries and endemic corruption on a grand scale.,Stefano Sollima,135 min,"Dramas, International Movies, Thrillers",NR,2015,80075009,Suburra,Movie
Russell Peters,United States,10/14/2013,"A four-part docu-series that's an exclusive, backstage pass to global comedy superstar Russell Peters' record-breaking ""Notorious"" world tour.",,1 Season,"Docuseries, Stand-Up Comedy & Talk Shows",NR,2013,70293417,Russell Peters vs. the World,TV Show
Russell Peters,United States,10/14/2013,"Global comedy star Russell Peters leaves no ethnic or cultural stereotype unsatirized in this outrageous standup appearance in Sydney, Australia.",Dave Higby,72 min,Stand-Up Comedy,NR,2013,70280748,Russell Peters: Notorious,Movie
"Kery James, Jammeh Diangana, Chloé Jouannet, Bakary Diombera",France,10/13/2019,"Three brothers – a gangster, a scholar and an impressionable teen – learn hard lessons in the gritty suburbs while searching for the means to survive.","Leïla Sy, Kery James",96 min,"Dramas, International Movies",TV-MA,2019,81034012,Street Flow,Movie
"Lee Min-ki, Lee Yoo-young, On Ju-wan, Lee Jun-hyeok, Yun Jong-seok, Kim Jong-soo, Seo Hyun-woo, Song Young-chang, Lee Jun-hyuk",South Korea,10/13/2019,"After her father dies and her husband goes missing, Kim Seo-hui teams up with detective Jo Tae-sik and joins the National Assembly.",,1 Season,"Crime TV Shows, International TV Shows, Korean TV Shows",TV-14,2019,81191500,The Lies Within,TV Show
"Diljit Dosanjh, Tapsee Pannu, Angad Bedi, Kulbhushan Kharbanda, Satish Kaushik, Vijay Raaz, Seema Kaushal, Mahabir Bhullar, Alka Badola Kaushal, Jimmy Moses",India,10/13/2018,This biopic on former Indian field hockey player Sandeep Singh follows the athlete’s hard-fought comeback after an accidental gunshot left him paralyzed.,Shaad Ali,131 min,"Dramas, International Movies, Sports Movies",TV-14,2018,81019031,Soorma,Movie
,,10/13/2017,"Upon returning home from his studies abroad, young grad Akif finds himself involved with four women in this continuation of the series ""Spain Uoolss.""",,1 Season,"International TV Shows, TV Dramas",TV-PG,2015,80180544,Ajaibnya Cinta,TV Show
"Ahmad Thaher, Maher Khammash, Odai Hijazi, Nadeem Rimawi, Mahmoud al Massad, Nadim Mushahwar","Germany, Jordan, Netherlands",10/13/2017,"After being wrongfully convicted of fraud, an honest man finds that life in prison comes with a measure of freedom that is unavailable outside.",Mahmoud al Massad,83 min,"Comedies, Dramas, International Movies",TV-14,2016,80148070,Blessed Benefit,Movie
"Funda Eryiğit, Ecem Uzun, Mehmet Kurtulus, Okan Yalabik, Serkan Keskin, Sema Poyraz","Turkey, France, Germany, Poland",10/13/2017,"While examining a young woman who has just murdered her husband and mother-in-law, a psychiatrist begins to reflect on her own marriage.",Yesim Ustaoglu,102 min,"Dramas, International Movies",TV-MA,2016,80155812,Clair Obscur,Movie
Alex Fernández,Mexico,10/13/2017,"From a Mexico City theme park, energetic stand-up Alex Fernández riffs on music, cheap toys, insecurity and other fun things about growing up.",Jan Suter,52 min,Stand-Up Comedy,TV-MA,2017,80183198,"El Especial de Alex Fernández, el Especial",Movie
,United Kingdom,10/13/2017,A father's suicide sends a family of eight on a journey through childhood memories and treacherous emotional waters in this poignant documentary.,Lucy Cohen,110 min,Documentaries,TV-MA,2017,80158844,Kingdom of Us,Movie
"Samara Weaving, Hana Mae Lee, Judah Lewis, Robbie Amell, Bella Thorne, Andrew Bachelor, Emily Alyn Lind, Leslie Bibb, Ken Marino",United States,10/13/2017,"When Cole stays up past his bedtime, he discovers that his hot babysitter is part of a satanic cult that will stop at nothing to keep him quiet.",McG,85 min,"Comedies, Horror Movies",TV-MA,2017,80164456,The Babysitter,Movie
"Adam Sandler, Ben Stiller, Dustin Hoffman, Elizabeth Marvel, Grace Van Patten, Emma Thompson, Candice Bergen, Rebecca Miller, Danny Flaherty, Sakina Jaffrey, Adam David Thompson",United States,10/13/2017,Grudges and rivalries abound as three adult siblings converge in New York to contend with their prickly artist father – and his fading legacy.,Noah Baumbach,113 min,"Comedies, Dramas, Independent Movies",TV-MA,2017,80174434,The Meyerowitz Stories (New and Selected),Movie
"Carrie Aizley, Sarah Baker, Bob Balaban, Ed Begley Jr., Tom Bennett, Maria Blasucci, Jennifer Coolidge, Kerry Godliman, Matt Griesser, Christopher Guest, John Michael Higgins, Michael Hitchcock, Don Lake, Jane Lynch, Christopher Moynihan, Chris O'Dowd, Jim Piddock, Parker Posey, Harry Shearer, Fred Willard, Zach Woods, Susan Yeagley",United States,10/13/2016,"Eager contestants don big heads and furry suits to vie for the title of World's Best Mascot in this offbeat, comic romp from Christopher Guest.",Christopher Guest,95 min,Comedies,TV-MA,2016,80075476,Mascots,Movie
"Dan Stevens, Lucy Boynton, Michael Sheen, Mark Lewis Jones, Bill Milner, Kristine Froseth, Paul Higgins, Richard Elfyn, Elen Rhys, Ross O'Hennessy","United Kingdom, United States",10/12/2018,"In 1905, a drifter on a dangerous mission to rescue his kidnapped sister tangles with a sinister religious cult on an isolated island.",Gareth Evans,130 min,"Horror Movies, International Movies, Thrillers",TV-MA,2018,80158148,Apostle,Movie
"Barış Kılıç, Tuvana Türkay, Serhat Tutumluer, Gülçin Santırcıoğlu, Kenan Bal",Turkey,10/12/2018,"Blaming a crooked media mogul for the death of his journalist sister, a surgeon enlists the help of a beautiful psychologist to get revenge.",,1 Season,"Crime TV Shows, International TV Shows, TV Dramas",TV-14,2014,80119451,Black Heart,TV Show
"Kandido Uranga, Uma Bracaglia, Eneko Sagardoy, Ramón Agirre, Josean Bengoetxea, Gotzon Sánchez, José Ramón Argoitia, Gorka Aguinagalde, Iñigo de la Iglesia, Aitor Urtzelai","Spain, France",10/12/2018,"A brutal blacksmith tortures a demon he blames for his misery, unaware a trespassing orphan is about to change everything. Based on Basque folklore.",Paul Urkijo Alijo,99 min,"Horror Movies, International Movies, Sci-Fi & Fantasy",TV-MA,2018,80239565,Errementari: The Blacksmith and the Devil,Movie
,United States,10/12/2018,"Revisiting 1970s photos of women that captured a feminist awakening, this film explores those women's lives and examines the continued need for change.",Johanna Demetrakas,86 min,"Documentaries, LGBTQ Movies",TV-MA,2018,80216844,Feminists: What Were They Thinking?,Movie
